"container","Container"
"Generator","Generator"
"Add New Generator","Add New Generator"
"Save Generator","Save Generator"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Duplicate","Duplicate"
"New Generator","New Generator"
"General Information","General Information"
"Name","Name"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Information","Information"
"Generator Information","Generator Information"
"Source Type","Source Type"
"Parameter","Parameter"
"Source","Source"
"Source Data","Source Data"
"Manage Layout Generator","Manage Layout Generator"
"ID","ID"
"Identifier","Identifier"
"Last Update","Last Update"
"From","From"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Check Data","Check Data"
"Import","Import"
"Template Import Settings","Template Import Settings"
"Import Behavior","Import Behavior"
"Select File to Import","Select File to Import"
"Attribute","Attribute"
"value","value"
"Template","Template"
"Add new","Add new"
"Attrib. Set Name","Attrib. Set Name"
"Product Type","Product Type"
"Job Queue","Job Queue"
"Add New Project","Job Queue"
"Delete Page","Delete Page"
"New","New"
"Option","Option"
"Cover Template","Cover Template"
"Article Template","Product Template"
"Ebook Option","Ebook Option"
"Type","Type"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"PDF Page Offset","PDF Page Offset"
"Use Document Size","Use Document Size"
"Yes","Yes"
"No","No"
"Page Size","Page Size"
"Orientation","Orientation"
"Placment Method","Placment Method"
"Grid","Grid"
"List","List"
"Use Document Bleed Settings","Use Document Bleed Settings"
"Print Option","Print Option"
"&#160;","&#160;"
"Products","Produkte"
" "," "
"Insert Products","Insert Products"
"SKU","SKU"
"Product Name","Product name"
"Visibility","Visibility"
"Websites","Websites"
"Queue Date Start","Queue Date Start"
"Priority","Priority"
"Continue","Continue"
"Promotions","Promotions"
"Settings","Settings"
"Manage Project","Manage Project"
"Refresh","Refresh"
"Queue Start","Queue Start"
"Queue Finish","Queue Finish"
"Job Status","Job Status"
"Download","Download"
"Rerun Job","Rerun Job"
"Cancel","Cancel"
"Start","Start Job Now"
"Hold","Hold"
"Projects","Projects"
"Save Project","Save Project"
"New Project","New Projekt"
"Texte","Text"
"Layout","Layout"
"Project Type","Project Type"
"Project Information","Project Information"
"Manage Layout Project","Manage Layout Project"
"Are you sure you want to delete current box?","Are you sure you want to delete current box?"
"Are you sure you want to delete current page?","Are you sure you want to delete current page?"
"Styles","Styles"
"Add New Style","Add New Style"
"Save Style","Save Style"
"New Style","New Style"
"CSS-Styles","CSS-Styles"
"CSS Style","CSS Style"
"Style Type","Style Type"
"Manage Layout Style","Manage Layout Style"
"Templates","Templates"
"Add New Template","Add New Template"
"Save Template","Save Template"
"New Template","New Template"
"Template Type","Template Type"
"Dependence","Dependence"
"Template Information","Template Information"
"Manage Layout Template","Manage Layout Template"
"Preview","Preview"
"Export Template","Export Template"
"Sku","Sku"
"N/A","N/A"
"Code","Code"
"Unit","Unit"
"Default","Default"
"Add new Parameter","Add new Parameter"
"Text","Text"
"Text Area","Text Area"
"Number","Number"
"Color","Color"
"A3","A3"
"A4","A4"
"A5","A5"
"B5","B5"
"Compact Disc","Compact Disc"
"DIN A0","DIN A0"
"DIN A1","DIN A1"
"DIN A2","DIN A2"
"DIN A6","DIN A6"
"DIN A7","DIN A7"
"Letter (8½ × 11)","Letter (8½ × 11)"
"Legal (8½ × 14)","Legal (8½ × 14)"
"Tabloid (11 × 17)","Tabloid (11 × 17)"
"Product","Product"
"Static","Static"
"Coupon Code Card","Coupon Code Card"
"Please Select Template Type","Please Select Template Type"
"Flyer","Flyer"
"Multipage Catalog","Multipage Catalogue"
"PHtml","PHtml"
"Markup","Markup"
"Please Select Type","Please Select Type"
"Coupon Card","Coupon Card"
"Brochure","Brochure"
"EBook (ePub3)","EBook (ePub3)"
"Please Select","Please Select"
"Wait","Wait"
"In Progress","In Progress"
"Canceled","Canceled"
"Completed","Completed"
"Exception","Exception"
"Low","Low"
"Medium","Medium"
"High","High"
"Very Hight","Very Hight"
"Rule Name","Rule Name"
"Description","Description"
"Coupon Code","Coupon Code"
"From Date","From Date"
"To Date","To Date"
"-- Please Select --","-- Please Select --"
"URL Shop Website","URL Shop Website"
"URL Product Website","URL Product Website"
"Free Text","Free Text"
"Media Static Image","Media Static Image"
"Price","Price"
"Price (Formated with symbol)","Price (Formated with symbol)"
"Price (Formated without whitespace)","Price (Formated without whitespace)"
"Price (Formated without symbol)","Price (Formated without symbol)"
"Minimal Price","Minimal Price"
"Special Price","Special Price"
"Currency Code","Currency Code"
"Currency Symbol","Currency Symbol"
"Digits","Digits"
"Decimal Places","Decimal Places"
"Top","Top"
"Middle","Middle"
"Bottom","Bottom"
"None","None"
"Fit Text to Box","Fit Text to Box"
"Free","Free"
"US #10","US #10"
"Invoice (5½ × 8½)","Invoice (5½ × 8½)"
"Executive (7¼ × 10½)","Executive (7¼ × 10½)"
"Broadsheet (17 × 22)","Broadsheet (17 × 22)"
"Portrait","Portrait"
"Landscape","Landscape"
"Images","Images"
"Block","Block"
"Barcode","Barcode"
"Group","Group"
"Bring to Front","Bring to Front"
"Bring Forward","Bring Forward"
"Send Backward","Send Backward"
"Send to Back","Send to Back"
"Copy Box","Copy Box"
"Paste Box","Paste Box"
"Remove Box","Remove Box"
"Unlink Template","Unlink Template"
"Group Box","Group Box"
"Ungroup Box","Ungroup Box"
"",""
"Left","Left"
"Right","Right"
"Center","Center"
"Justify","Justify"
"RGB","RGB"
"HSL/CMYK","HSL/CMYK"
"Standard","Standard"
"Inhalt proportional anpassen","Fit Content proportional "
"Rahmen proportional füllen","Fill Frame proportional "
"Datamatrix (ISO/IEC 16022)","Data matrix (ISO/IEC 16022)"
"PDF417 (ISO/IEC 15438:2006)","PDF417 (ISO/IEC 15438:2006)"
"QR-CODE Low","QR-CODE Low"
"QR-CODE Medium","QR-CODE Medium"
"QR-CODE Best","QR-CODE Best"
"Uploaded file has no extension","Uploaded file has no extension"
"File does not contain data. Please upload another one","File does not contain data. Please upload another one"
"Please select","Please select"
"PHP Modul DOMDocument required","PHP Modul DOM Document required"
